"config_mistura","tipo_mistura","alpha","repeticao","proporcao_pool","n_real","n_syn","n_total_treino","correlacao","RMSE","MAE","slope_calibracao","media_lambda","sd_lambda"
"beta_alpha_0.2","beta",0.2,12,0.25,275,828,1103,0.41675361813156,726.076005389239,565.89771188391,0.361007078385761,0.465530643713295,0.411631230768428
"beta_alpha_0.2","beta",0.2,13,0.25,275,828,1103,0.418646250540941,698.404125874294,566.15156046028,0.386792377844094,0.476053496378767,0.418875300642122
"beta_alpha_0.2","beta",0.2,14,0.25,275,828,1103,0.397614091142638,715.649479505596,578.507734545422,0.357144527825298,0.507797292257932,0.418153428816933
"beta_alpha_0.2","beta",0.2,15,0.25,275,828,1103,0.375993586150414,696.828667740387,559.583108740383,0.352295054992599,0.503624953293725,0.42331064535649
"beta_alpha_0.2","beta",0.2,16,0.25,275,828,1103,0.558394373436334,615.677282653483,492.091548515496,0.518254735795246,0.49689664346332,0.422720113925037
"beta_alpha_0.2","beta",0.2,17,0.25,275,828,1103,0.442252439997188,720.058415783304,577.327958636224,0.397979581153833,0.502215418701578,0.427379994230678
"beta_alpha_0.2","beta",0.2,18,0.25,275,828,1103,0.497624585061843,664.546195752952,526.113983921449,0.413705603754444,0.50517375033279,0.425119393347563
"beta_alpha_0.2","beta",0.2,19,0.25,275,828,1103,0.400930990456272,706.318839404195,567.818668897767,0.368462197144626,0.489326671263485,0.417670736004581
"beta_alpha_0.2","beta",0.2,20,0.25,275,828,1103,0.521074857308839,629.071187167947,490.864439124331,0.509266782139969,0.482679914979432,0.418623797203434
"beta_alpha_0.2","beta",0.2,21,0.25,275,828,1103,0.485569983286665,677.470465787349,538.790073573719,0.431840095824075,0.509495298097081,0.42400065844487
"beta_alpha_0.2","beta",0.2,22,0.25,275,828,1103,0.431081021496969,754.243303161542,607.737413669075,0.331518346887955,0.517059254878334,0.416537446698173
"beta_alpha_0.2","beta",0.2,23,0.25,275,828,1103,0.320389515251707,769.809379477435,618.16325526399,0.278728095527693,0.474043474245629,0.422042402347284
"beta_alpha_0.2","beta",0.2,24,0.25,275,828,1103,0.429598291735834,678.697601762462,526.547806337052,0.401283282393894,0.502745660402703,0.416533703462697
"beta_alpha_0.2","beta",0.2,25,0.25,275,828,1103,0.497894298102355,616.795550313704,463.335910978211,0.543569527067725,0.507190058139254,0.421018093725739
"beta_alpha_0.2","beta",0.2,26,0.25,275,828,1103,0.351543166992525,675.400056697464,541.365406032143,0.376725890218038,0.506446236382219,0.420331136554169
"beta_alpha_0.2","beta",0.2,27,0.25,275,828,1103,0.443857064017757,624.232353240908,486.104819107831,0.488363749203702,0.508563271869634,0.422969870688973
"beta_alpha_0.2","beta",0.2,28,0.25,275,828,1103,0.468312999728198,699.19605733713,551.831099900184,0.435697936559148,0.513452232104046,0.426080861679917
"beta_alpha_0.2","beta",0.2,29,0.25,275,828,1103,0.441085718561578,703.434859094881,561.550224435543,0.387259190883637,0.483963949805635,0.430004326728058
"beta_alpha_0.2","beta",0.2,30,0.25,275,828,1103,0.395270563680401,658.745393371745,535.56421257048,0.391242714297342,0.505162527483842,0.426526482070274
"beta_alpha_0.2","beta",0.2,1,0.5,551,552,1103,0.481349218165879,703.889932288241,560.723861390208,0.416711050710635,0.492844451522161,0.426797140985675
"beta_alpha_0.2","beta",0.2,2,0.5,551,552,1103,0.435425622705294,689.210945551743,543.545560237905,0.391204434151645,0.503963774112315,0.419767388259136
"beta_alpha_0.2","beta",0.2,3,0.5,551,552,1103,0.5508133043631,611.784244671135,501.672850323114,0.501905778059424,0.517396802036042,0.427122683912681
"beta_alpha_0.2","beta",0.2,4,0.5,551,552,1103,0.489314189320342,705.012242083543,536.320334311371,0.443324531098477,0.488964076066097,0.42148499649383
"beta_alpha_0.2","beta",0.2,5,0.5,551,552,1103,0.449754938950283,735.524094249858,595.554898844394,0.381612008869692,0.491681284172125,0.421942706262722
"beta_alpha_0.2","beta",0.2,6,0.5,551,552,1103,0.456733946545329,691.75414851028,530.89582978654,0.376568395676116,0.510655835848681,0.411859421067754
"beta_alpha_0.2","beta",0.2,7,0.5,551,552,1103,0.363902520077251,788.7122772464,619.944331271172,0.314263868159809,0.507898137581236,0.419712535051513
"beta_alpha_0.2","beta",0.2,8,0.5,551,552,1103,0.406281557424477,682.099258963607,553.199035952876,0.408493305302971,0.479618825900744,0.42079425654891
"beta_alpha_0.2","beta",0.2,9,0.5,551,552,1103,0.368818939550659,738.8711132371,572.14898841218,0.313447355112307,0.509920592254225,0.417937552262584
"beta_alpha_0.2","beta",0.2,10,0.5,551,552,1103,0.397592092264571,749.597397319666,592.645953006297,0.331594265373396,0.526696823577769,0.426944366706575
"beta_alpha_0.2","beta",0.2,11,0.5,551,552,1103,0.519732617056126,659.027357981016,516.572771267101,0.477309062445801,0.505782770010276,0.420433248622293
"beta_alpha_0.2","beta",0.2,12,0.5,551,552,1103,0.442994380943069,685.814274238553,565.570508046955,0.400584471397039,0.540125700261714,0.421917624897259
"beta_alpha_0.2","beta",0.2,13,0.5,551,552,1103,0.496140469945278,691.423974332159,567.909855234293,0.41575912849204,0.525039401100447,0.422987324634937
"beta_alpha_0.2","beta",0.2,14,0.5,551,552,1103,0.490083300901401,681.566078260677,542.935522563518,0.414423870567354,0.477728395650625,0.423504192356919
"beta_alpha_0.2","beta",0.2,15,0.5,551,552,1103,0.442131399695602,674.650199886151,551.935592829965,0.397635729085172,0.508868434631823,0.424765802807016
"beta_alpha_0.2","beta",0.2,16,0.5,551,552,1103,0.501656069255128,654.688744985008,522.922080802962,0.462718783509049,0.478804999739216,0.415277736569922
"beta_alpha_0.2","beta",0.2,17,0.5,551,552,1103,0.505580487488338,661.35492992573,530.958823837672,0.467392386834562,0.510288543625672,0.42181357794158
"beta_alpha_0.2","beta",0.2,18,0.5,551,552,1103,0.449990157507922,698.678240859552,571.424561154438,0.370656302973714,0.488609065915045,0.420323614080231
"beta_alpha_0.2","beta",0.2,19,0.5,551,552,1103,0.475829986595683,677.495570163,538.293676408215,0.420177469930614,0.524148605891959,0.415922018696116
"beta_alpha_0.2","beta",0.2,20,0.5,551,552,1103,0.484179692523696,675.16820618922,538.80302678739,0.447147555724726,0.482688938267447,0.425839925854619
"beta_alpha_0.2","beta",0.2,21,0.5,551,552,1103,0.405381832854685,789.959517307023,621.373464575493,0.318017692118805,0.492496646301744,0.420206727697613
"beta_alpha_0.2","beta",0.2,22,0.5,551,552,1103,0.562335971977496,633.829943628966,495.200641758373,0.462561870393688,0.517877236534106,0.42958607873875
"beta_alpha_0.2","beta",0.2,23,0.5,551,552,1103,0.343853465674596,718.24317101039,585.486587168304,0.327907724574224,0.497341736376031,0.423672860816679
"beta_alpha_0.2","beta",0.2,24,0.5,551,552,1103,0.444146356432787,672.523640877632,527.825540919019,0.410978406575718,0.530786611407404,0.418561568991348
"beta_alpha_0.2","beta",0.2,25,0.5,551,552,1103,0.441667576011865,688.124563063936,544.636582558754,0.419437718396127,0.513304839288669,0.423617648671704
"beta_alpha_0.2","beta",0.2,26,0.5,551,552,1103,0.30286471532214,728.757470247116,584.364551876289,0.298043143967236,0.515156946783912,0.419848185177963
"beta_alpha_0.2","beta",0.2,27,0.5,551,552,1103,0.501135233321865,641.432301834935,517.01561265986,0.464967392361686,0.495336848599069,0.421777188020954
"beta_alpha_0.2","beta",0.2,28,0.5,551,552,1103,0.530702580595974,683.721753032873,541.020926088015,0.462507737751634,0.477302058851021,0.424584363401461
"beta_alpha_0.2","beta",0.2,29,0.5,551,552,1103,0.456363066376712,686.025594802511,555.982016281589,0.410652428058215,0.472864672166152,0.418757029133856
"beta_alpha_0.2","beta",0.2,30,0.5,551,552,1103,0.381732631408192,722.10056123577,574.070001570153,0.33575374141569,0.517772247219499,0.418325722639481
"beta_alpha_0.2","beta",0.2,1,0.75,827,276,1103,0.637190754851686,490.410283647983,386.322415078446,0.928762804912963,0.520307401246077,0.419811546345642
"beta_alpha_0.2","beta",0.2,2,0.75,827,276,1103,0.647212078344742,468.684834358581,368.212972047841,0.886650485836316,0.50204940135554,0.416567310626111
"beta_alpha_0.2","beta",0.2,3,0.75,827,276,1103,0.712669538045743,431.360381856874,341.707333732326,0.981974541845875,0.476102092660235,0.422354284289808
"beta_alpha_0.2","beta",0.2,4,0.75,827,276,1103,0.660956366289827,505.097959606868,399.657987749856,0.85867560717919,0.520572525399904,0.431300574407265
"beta_alpha_0.2","beta",0.2,5,0.75,827,276,1103,0.622088844490535,508.98838370635,417.871164081891,0.822310628271999,0.512210920439926,0.423110650757173
"beta_alpha_0.2","beta",0.2,6,0.75,827,276,1103,0.604942087558808,488.853391744822,388.306656467702,0.737907027741216,0.51869798298765,0.430061398002239
"beta_alpha_0.2","beta",0.2,7,0.75,827,276,1103,0.63370137619119,503.675055430034,402.992835128951,0.851967421056974,0.576652700000207,0.420112896345964
"beta_alpha_0.2","beta",0.2,8,0.75,827,276,1103,0.661643626862198,468.556892350171,374.196565055252,0.990434920234215,0.513735876139176,0.425875171913676
"beta_alpha_0.2","beta",0.2,9,0.75,827,276,1103,0.609873417546042,485.727401369889,386.469036419094,0.7784106287485,0.489360697461592,0.419445879132518
"beta_alpha_0.2","beta",0.2,10,0.75,827,276,1103,0.601819364239248,500.780821283186,404.438977646928,0.790897768689123,0.489139560441691,0.43061994738263
"beta_alpha_0.2","beta",0.2,11,0.75,827,276,1103,0.664962442656598,482.561448306775,378.316323481843,0.875420680194747,0.511950317944893,0.419181092743543
"beta_alpha_0.2","beta",0.2,12,0.75,827,276,1103,0.614679912766609,487.873752238613,380.275097081989,0.830668710418211,0.499192900308677,0.411544061024921
"beta_alpha_0.2","beta",0.2,13,0.75,827,276,1103,0.675384498038347,461.874264879468,367.97243653193,0.880942112090173,0.472350224075491,0.416905703369373
"beta_alpha_0.2","beta",0.2,14,0.75,827,276,1103,0.639853060896748,482.333517555454,379.180339848227,0.785173222687976,0.478642916903,0.431123112362131
"beta_alpha_0.2","beta",0.2,15,0.75,827,276,1103,0.586166142008079,495.399354766639,400.879244337922,0.808979907667275,0.48979459024593,0.405961933273174
"beta_alpha_0.2","beta",0.2,16,0.75,827,276,1103,0.677191221388586,462.504121744807,361.369681113798,0.953572471657099,0.510959761316777,0.422157650293546
