"config_mistura","alpha","repeticao","proporcao_pool","n_real","n_syn","n_total_treino","correlacao","RMSE","MAE","slope_calibracao","media_lambda","sd_lambda","seed_da","seed_bglr"
"beta_alpha_population_informed",1.40104090407217,9,0.5,551,552,1103,0.399903501178147,745.399544526668,577.993511188362,0.322428749924839,0.508091422426738,0.249378220909969,325009,335009
"beta_alpha_population_informed",1.40104090407217,10,0.5,551,552,1103,0.403219540975764,737.518000929983,591.329409321707,0.342110775633942,0.498503791827561,0.255983859744603,325010,335010
"beta_alpha_population_informed",1.40104090407217,11,0.5,551,552,1103,0.540436646990692,652.499687819456,516.052829494064,0.485379424438905,0.506190515864241,0.253555373965707,325011,335011
"beta_alpha_population_informed",1.40104090407217,12,0.5,551,552,1103,0.433056872325682,712.341050983483,571.765397726073,0.371217357820445,0.511066722009468,0.255746126127367,325012,335012
"beta_alpha_population_informed",1.40104090407217,13,0.5,551,552,1103,0.470604659054309,735.547604020275,598.691394743887,0.37541933674555,0.505967814643202,0.262913548935948,325013,335013
"beta_alpha_population_informed",1.40104090407217,14,0.5,551,552,1103,0.512225381462275,690.382874753871,543.019195326164,0.412268660279034,0.49342399779866,0.252989838113821,325014,335014
"beta_alpha_population_informed",1.40104090407217,15,0.5,551,552,1103,0.372126186163561,723.495169347889,581.268076038081,0.328696332961557,0.501252018372703,0.248973800309347,325015,335015
"beta_alpha_population_informed",1.40104090407217,16,0.5,551,552,1103,0.476788676266894,650.982300230228,517.11911568368,0.464013764624056,0.51342887481227,0.255537557613916,325016,335016
"beta_alpha_population_informed",1.40104090407217,17,0.5,551,552,1103,0.479917229530658,669.094156528975,535.094334299201,0.454440055825331,0.49595362581398,0.25412823265508,325017,335017
"beta_alpha_population_informed",1.40104090407217,18,0.5,551,552,1103,0.465524187230937,713.540947373141,577.433680402282,0.365697810366548,0.490831350560651,0.273389138375826,325018,335018
"beta_alpha_population_informed",1.40104090407217,19,0.5,551,552,1103,0.461543652437027,699.361501404657,563.68926640279,0.395082964899569,0.508757110741914,0.265850881650664,325019,335019
"beta_alpha_population_informed",1.40104090407217,20,0.5,551,552,1103,0.474194819829695,686.180224967594,542.243860479987,0.432032037986458,0.489480283837935,0.263030568341359,325020,335020
"beta_alpha_population_informed",1.40104090407217,21,0.5,551,552,1103,0.350131133313302,814.917247955167,639.336744962639,0.27964488536224,0.472985316609566,0.263057847061887,325021,335021
"beta_alpha_population_informed",1.40104090407217,22,0.5,551,552,1103,0.55350187971133,657.791958518777,514.244464184724,0.441033097186006,0.500035006900396,0.257304214265937,325022,335022
"beta_alpha_population_informed",1.40104090407217,23,0.5,551,552,1103,0.351563923386127,730.121275224517,586.079889327021,0.321783521615217,0.499778927141067,0.252238718810027,325023,335023
"beta_alpha_population_informed",1.40104090407217,24,0.5,551,552,1103,0.385219637404825,734.062563631021,567.776407652288,0.338498498709249,0.496518421550875,0.256507332617686,325024,335024
